word,difficulty,category
CAT,easy,animals
DOG,easy,animals
SUN,easy,nature
MOON,easy,nature
STAR,easy,nature
FISH,easy,animals
BIRD,easy,animals
TREE,easy,nature
BOOK,easy,objects
GAME,easy,objects
APPLE,medium,food
BREAD,medium,food
CHAIR,medium,objects
DANCE,medium,actions
EAGLE,medium,animals
FLAME,medium,nature
GRASS,medium,nature
HONEY,medium,food
BRIDGE,medium,places
CASTLE,medium,places
DRAGON,medium,fantasy
FOREST,medium,nature
GARDEN,medium,places
HUNTER,medium,people
ISLAND,medium,places
ADVENTURE,hard,concepts
BUTTERFLY,hard,animals
CHAMPION,hard,people
DINOSAUR,hard,animals
ELEPHANT,hard,animals
FIREFLY,hard,animals
GALAXY,hard,space
HORIZON,hard,nature
JOURNEY,hard,concepts
TREASURE,hard,concepts
